Channel,Date,CA hotel target,CA flight target,Cost,Sum_Install,CA_hotel,CA_flight,Total Budget,CA_hotel_log,CA_flight_log,Cost_log,Budget_log,Tier
android-Glispa App Install,1-Nov,12900,23000,10540.2,12266,656,1192,325000,2.816903839,3.076276255,4.022848852,5.511883361,NORMAL
android-Glispa App Install,1-Dec,14400,24000,25759.8,23867,1045,1450,350000,3.01911629,3.161368002,4.410942487,5.544068044,NORMAL
android-Glispa App Install,1-Jan,12300,18000,32816.3,29264,937,1796,320000,2.971739591,3.254306332,4.516089613,5.505149978,NORMAL
android-Glispa App Install,1-Feb,12900,20500,21571,20401,738,1334,346300,2.868056362,3.12515583,4.333870279,5.539452492,NORMAL
android-Glispa App Install,1-Mar,14400,23000,28838.7,27328,930,2008,448100,2.968482949,3.302763708,4.459975679,5.651374944,NORMAL
android-Glispa App Install,1-Apr,15000,36500,36859.9,37836,1054,2006,629800,3.022840611,3.302330929,4.566554153,5.799202656,NORMAL
android-Glispa App Install,1-May,22500,34500,51478.9,52155,1364,3214,767400,3.13481437,3.507045872,4.711629258,5.885021795,NORMAL
android-Glispa App Install,1-Jun,24750,40000,85237.9,81441,1862,5269,1318450,3.269979677,3.721728199,4.930632741,6.120063665,NORMAL
android-inMobi App Install,1-Jan,8400,20000,39243.4,18773,797,2227,250000,2.901458321,3.347720217,4.593766627,5.397940009,HIGH
android-inMobi App Install,1-Feb,11000,20000,74600.4,34764,884,2115,200000,2.946452265,3.325310372,4.872741156,5.301029996,HIGH
android-inMobi App Install,1-Mar,12800,27692,132589.8,58169,1712,3783,250000,3.23350376,3.577836341,5.122510116,5.397940009,HIGH
android-inMobi App Install,1-Apr,18000,29230,71157.8,34779,1951,3612,200000,3.290257269,3.557747742,4.852222512,5.301029996,HIGH
android-inMobi App Install,1-May,23000,30769,52344.6,46056,2271,3763,250000,3.356217134,3.575534218,4.718871885,5.397940009,HIGH
android-inMobi App Install,1-Jun,29400,41538,148653.4,78840,2488,6054,400000,3.395850376,3.782042417,5.172174847,5.602059991,HIGH
android-inMobi App Install,1-Jul,27300,53846,84646.8,43753,2844,5002,500000,3.453929592,3.699143687,4.927610545,5.698970004,HIGH
android-inMobi App Install,1-Aug,25200,33500,63889,33436,2247,3947,300000,3.351603072,3.596267126,4.805426091,5.477121255,HIGH
android-inMobi App Install,1-Sep,29-Jun,42000,65150.4,28136,1894,3108,350000,3.277379975,3.49248101,4.813917086,5.544068044,HIGH
android-inMobi App Install,1-Oct,12300,20000,83994.4,63890,2984,4848,300000,3.474798819,3.685562611,4.924250332,5.477121255,HIGH
android-inMobi App Install,1-Nov,12900,23000,76790,58697,2941,4986,325000,3.468495025,3.697752274,4.885304668,5.511883361,HIGH
android-inMobi App Install,1-Dec,14400,24000,87267.6,65435,3820,5102,350000,3.582063363,3.707740454,4.940853032,5.544068044,HIGH
android-inMobi App Install,1-Jan,12300,18000,67712.4,51693,2671,4667,320000,3.426673888,3.669037801,4.830668207,5.505149978,HIGH
android-inMobi App Install,1-Feb,12900,20500,65213.4,49290,2266,3978,346300,3.355259906,3.599664779,4.814336843,5.539452492,HIGH
android-inMobi App Install,1-Mar,14400,23000,65374.4,50112,2564,4675,448100,3.408918021,3.669781615,4.815407716,5.651374944,HIGH
android-inMobi App Install,1-Apr,15000,36500,85019.2,66572,3039,4810,629800,3.4827307,3.682145076,4.929517014,5.799202656,HIGH
android-inMobi App Install,1-May,22500,34500,163828,119104,3168,7573,767400,3.500785173,3.879267957,5.214388129,5.885021795,HIGH
android-inMobi App Install,1-Jun,24750,40000,143946.6,115781,3655,10346,1318450,3.562887381,4.014772474,5.158201411,6.120063665,HIGH
android-Iron Source App Install,1-Oct,12300,20000,5805.9,6121,83,156,300000,1.919078092,2.193124598,3.763869551,5.477121255,NORMAL
android-Iron Source App Install,1-Nov,12900,23000,5295.6,6309,164,380,325000,2.214843848,2.579783597,3.723915173,5.511883361,NORMAL
android-Iron Source App Install,1-Dec,14400,24000,16545.6,18349,486,859,350000,2.686636269,2.933993164,4.218682521,5.544068044,NORMAL
android-Iron Source App Install,1-Jan,12300,18000,19468.8,20672,508,1195,320000,2.705863712,3.077367905,4.289339184,5.505149978,NORMAL
android-Iron Source App Install,1-Feb,12900,20500,9104.4,10797,461,888,346300,2.663700925,2.948412966,3.95925133,5.539452492,NORMAL
android-Iron Source App Install,1-Mar,14400,23000,20732.4,22290,731,1528,448100,2.863917377,3.184123354,4.316649579,5.651374944,NORMAL
android-Iron Source App Install,1-Apr,15000,36500,22815,27355,902,1374,629800,2.955206538,3.137986733,4.358220473,5.799202656,NORMAL
android-Iron Source App Install,1-May,22500,34500,42645.6,43584,856,2066,767400,2.932473765,3.315130317,4.629874229,5.885021795,NORMAL
android-Iron Source App Install,1-Jun,24750,40000,59496.3,69827,1862,4255,1318450,3.269979677,3.628899564,4.774489958,6.120063665,NORMAL
android-UAC App Install,1-Jan,8400,20000,19710.43,2062,884,3133,250000,2.946452265,3.495960395,4.294696099,5.397940009,HIGH
android-UAC App Install,1-Feb,11000,20000,1976.01,1704,178,510,200000,2.250420002,2.707570176,3.295789138,5.301029996,HIGH
android-UAC App Install,1-Mar,12800,27692,1769.84,1040,83,204,250000,1.919078092,2.309630167,3.247934006,5.397940009,HIGH
android-UAC App Install,1-Apr,18000,29230,5767.22,1751,64,117,200000,1.806179974,2.068185862,3.760966519,5.301029996,HIGH
