"Date","Channel","Tier","CA_hotel_target","CA_flight_target","Cost","Sum_Install","CA_hotel","CA_flight","Total_budget"
"1-Feb","android  -  inMobi App Install","HIGH",12900,20500,65213.4,49290,2266,3978,346300
"1-Mar","android  -  inMobi App Install","HIGH",14400,23000,65374.4,50112,2564,4675,448100
"1-Apr","android  -  inMobi App Install","HIGH",15000,36500,85019.2,66572,3039,4810,629800
"1-May","android  -  inMobi App Install","HIGH",22500,34500,163828,119104,3168,7573,767400
"1-Jun","android  -  inMobi App Install","HIGH",24750,40000,143946.6,115781,3655,10346,1318450
"1-Oct","android  -  Iron Source App Install","NORMAL",12300,20000,5805.9,6121,83,156,300000
"1-Nov","android  -  Iron Source App Install","NORMAL",12900,23000,5295.6,6309,164,380,325000
"1-Dec","android  -  Iron Source App Install","NORMAL",14400,24000,16545.6,18349,486,859,350000
"1-Jan","android  -  Iron Source App Install","NORMAL",12300,18000,19468.8,20672,508,1195,320000
"1-Feb","android  -  Iron Source App Install","NORMAL",12900,20500,9104.4,10797,461,888,346300
"1-Mar","android  -  Iron Source App Install","NORMAL",14400,23000,20732.4,22290,731,1528,448100
"1-Apr","android  -  Iron Source App Install","NORMAL",15000,36500,22815,27355,902,1374,629800
"1-May","android  -  Iron Source App Install","NORMAL",22500,34500,42645.6,43584,856,2066,767400
"1-Jun","android  -  Iron Source App Install","NORMAL",24750,40000,59496.3,69827,1862,4255,1318450
"1-Jan","android  -  UAC App Install","HIGH",8400,20000,19710.43,2062,884,3133,250000
"1-Feb","android  -  UAC App Install","HIGH",11000,20000,1976.01,1704,178,510,200000
"1-Mar","android  -  UAC App Install","HIGH",12800,27692,1769.84,1040,83,204,250000
"1-Apr","android  -  UAC App Install","HIGH",18000,29230,5767.22,1751,64,117,200000
"1-May","android  -  UAC App Install","HIGH",23000,30769,8903.14,3012,88,222,250000
"1-Jun","android  -  UAC App Install","HIGH",29400,41538,30226.38,3723,85,221,400000
"1-Jul","android  -  UAC App Install","HIGH",27300,53846,65833.97,16910,218,509,500000
"1-Aug","android  -  UAC App Install","HIGH",25200,33500,29987.91,10541,227,565,300000
"1-Sep","android  -  UAC App Install","HIGH",NA,42000,50293.35,19940,401,981,350000
"1-Oct","android  -  UAC App Install","HIGH",12300,20000,53091.64,30727,1232,2031,300000
"1-Nov","android  -  UAC App Install","HIGH",12900,23000,117179.48,41872,1605,2928,325000
"1-Dec","android  -  UAC App Install","HIGH",14400,24000,111280.47,83333,4001,5288,350000
"1-Jan","android  -  UAC App Install","HIGH",12300,18000,96723.3,64581,3215,5304,320000
"1-Feb","android  -  UAC App Install","HIGH",12900,20500,103415.81,65776,3061,4988,346300
"1-Mar","android  -  UAC App Install","HIGH",14400,23000,100024.21,86166,4338,6926,448100
"1-Apr","android  -  UAC App Install","HIGH",15000,36500,198714.55,141356,7195,8780,629800
"1-May","android  -  UAC App Install","HIGH",22500,34500,172358.96,111341,5883,10229,767400
"1-Jun","android  -  UAC App Install","HIGH",24750,40000,252593.11,209374,8313,16572,1318450
"1-Jan","ios  -  BBM App Install","NORMAL",8400,20000,6218.4,3257,67,142,250000
"1-Feb","ios  -  BBM App Install","NORMAL",11000,20000,5115.6,4783,183,343,200000
"1-Mar","ios  -  BBM App Install","NORMAL",12800,27692,4464,6895,281,427,250000
"1-Apr","ios  -  BBM App Install","NORMAL",18000,29230,3213.6,2455,253,359,200000
"1-May","ios  -  BBM App Install","NORMAL",23000,30769,11428.8,6638,347,469,250000
"1-Jun","ios  -  BBM App Install","NORMAL",29400,41538,4848,2692,344,565,400000
"1-Jul","ios  -  BBM App Install","NORMAL",27300,53846,13239.6,4254,420,520,500000
"1-Aug","ios  -  BBM App Install","NORMAL",25200,33500,10496.4,6598,364,485,300000
"1-Sep","ios  -  BBM App Install","NORMAL",NA,42000,4600.8,2412,316,381,350000
"1-Oct","ios  -  BBM App Install","NORMAL",12300,20000,2232,2163,338,403,300000
"1-Nov","ios  -  BBM App Install","NORMAL",12900,23000,1579.2,1537,315,374,325000
"1-Dec","ios  -  BBM App Install","NORMAL",14400,24000,2145.6,1861,326,358,350000
"1-Jan","ios  -  BBM App Install","NORMAL",12300,18000,1332,1771,216,316,320000
"1-Feb","ios  -  BBM App Install","NORMAL",12900,20500,1093.2,834,129,161,346300
