"reporting_date","platform","channel_group","total_cost_usd"
"12/22/2016","android","inMobi App Install",3116.4
"12/22/2016","ios","Facebook App Install",84.82
"12/22/2016","ios","UAC App Install",0
"12/22/2016","android","Instagram App Install",0
"12/22/2016","ios","Facebook DPA",0
"12/22/2016","android","GDN App Install",2345.73
"12/22/2016","android","Glispa App Install",1689.6
"12/22/2016","android","BBM App Install",975.6
"12/22/2016","android","UAC App Install",0
"12/22/2016","ios","inMobi App Install",0
"12/22/2016","android","Facebook App Install",3643.43
"12/22/2016","ios","GDN App Install",1486.92
"12/22/2016","android","Facebook DPA",0
"12/21/2016","ios","GDN App Install",2097.51
"12/21/2016","ios","Facebook App Install",70.26
"12/21/2016","android","Iron Source App Install",643.5
"12/21/2016","android","Facebook DPA",0
"12/21/2016","android","GDN App Install",2279.61
"12/21/2016","ios","BBM App Install",76.8
"12/21/2016","ios","inMobi App Install",0
"12/21/2016","ios","UAC App Install",0
"12/21/2016","android","inMobi App Install",3189.2
"12/21/2016","android","UAC App Install",0
"12/21/2016","ios","Facebook DPA",0
"12/21/2016","android","Facebook App Install",3603.58
"12/21/2016","android","BBM App Install",1194
"12/21/2016","android","Glispa App Install",1868.9
"12/21/2016","android","Instagram App Install",0
"12/21/2016","ios","Instagram App Install",0
"12/20/2016","ios","Instagram App Install",0
"12/20/2016","ios","BBM App Install",79.2
"12/20/2016","ios","inMobi App Install",0
"12/20/2016","android","BBM App Install",1338
"12/20/2016","android","Facebook DPA",0
"12/20/2016","android","Iron Source App Install",960.3
"12/20/2016","android","Facebook App Install",3535.53
"12/20/2016","ios","UAC App Install",0
"12/20/2016","android","UAC App Install",0
"12/20/2016","android","Instagram App Install",0
"12/20/2016","ios","Facebook App Install",86.72
"12/20/2016","android","inMobi App Install",3521
"12/20/2016","ios","Facebook DPA",0
"12/20/2016","android","Glispa App Install",1441
"12/20/2016","ios","GDN App Install",2144.13
"12/20/2016","android","GDN App Install",2315.87
"12/19/2016","ios","BBM App Install",80.4
